epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.369,1.73446,2.55648,1.92529,0.37734,0.41575,0.3194,0.12821,1.96096,2.96983,2.13451,0.000554212,0.000554212,0.000554212
2,230.975,1.73213,2.16294,1.9258,0.54942,0.40816,0.41299,0.17504,1.97419,2.36042,2.0377,0.00107325,0.00107325,0.00107325
3,343.704,1.72287,2.12327,1.89757,0.63535,0.46536,0.51356,0.24383,1.93651,1.74368,2.0212,0.00155562,0.00155562,0.00155562
4,455.359,1.65437,2.00785,1.84672,0.71293,0.50231,0.58296,0.29077,1.75067,1.57452,1.86085,0.00150197,0.00150197,0.00150197
5,567.313,1.58359,1.85922,1.77524,0.64768,0.57028,0.59575,0.3116,1.7279,1.59745,1.77013,0.00144696,0.00144696,0.00144696
6,679.917,1.55728,1.79819,1.75479,0.66953,0.52131,0.57838,0.3164,1.68622,1.55205,1.75144,0.00139195,0.00139195,0.00139195
7,792.784,1.52135,1.72938,1.72202,0.70516,0.55112,0.62343,0.33715,1.6142,1.39229,1.68101,0.00133693,0.00133693,0.00133693
8,905.332,1.50048,1.67995,1.70396,0.66777,0.57304,0.6219,0.34442,1.57806,1.3771,1.63757,0.00128192,0.00128192,0.00128192
9,1017.99,1.47133,1.62448,1.68269,0.72282,0.57848,0.65469,0.34461,1.61519,1.40136,1.70159,0.00122691,0.00122691,0.00122691
10,1130.61,1.46306,1.58965,1.66688,0.75268,0.61813,0.68651,0.37615,1.56503,1.22743,1.62436,0.0011719,0.0011719,0.0011719
11,1243.29,1.42893,1.54238,1.65479,0.73667,0.62583,0.6852,0.37329,1.56632,1.29542,1.64467,0.00111689,0.00111689,0.00111689
12,1355.83,1.4293,1.53151,1.64512,0.7938,0.61804,0.71173,0.40058,1.51874,1.18585,1.59973,0.00106188,0.00106188,0.00106188
13,1468.74,1.40999,1.49385,1.62744,0.70818,0.65724,0.69517,0.40664,1.51167,1.17957,1.58422,0.00100687,0.00100687,0.00100687
14,1581.79,1.39728,1.47138,1.61698,0.82443,0.62156,0.71365,0.40921,1.48801,1.1288,1.56063,0.000951857,0.000951857,0.000951857
15,1694.56,1.38159,1.42066,1.60091,0.7913,0.64183,0.73337,0.41978,1.48794,1.1017,1.55825,0.000896846,0.000896846,0.000896846
16,1807.55,1.35753,1.389,1.58878,0.80014,0.64698,0.72885,0.42949,1.4491,1.07606,1.52066,0.000841835,0.000841835,0.000841835
17,1920.44,1.35154,1.3811,1.58233,0.78313,0.63633,0.72495,0.43823,1.45581,1.07465,1.53454,0.000786824,0.000786824,0.000786824
18,2032.93,1.33995,1.36198,1.57271,0.79885,0.61316,0.72841,0.4316,1.45419,1.06576,1.52498,0.000731813,0.000731813,0.000731813
19,2145.49,1.32737,1.32933,1.55685,0.7842,0.65547,0.73998,0.43798,1.42601,1.0645,1.5046,0.000676802,0.000676802,0.000676802
20,2258.16,1.30725,1.30312,1.54489,0.79838,0.66906,0.74123,0.44675,1.41601,1.03703,1.51206,0.000621791,0.000621791,0.000621791
21,2390.25,1.40505,1.19092,1.65639,0.76884,0.6775,0.73767,0.44461,1.4284,1.03574,1.49487,0.00056678,0.00056678,0.00056678
22,2502.5,1.38372,1.14855,1.65249,0.79186,0.69967,0.75688,0.45292,1.36269,0.99586,1.46956,0.000511769,0.000511769,0.000511769
23,2615.06,1.34486,1.11196,1.62566,0.77429,0.68829,0.75644,0.45397,1.37586,0.97705,1.45983,0.000456758,0.000456758,0.000456758
24,2727.51,1.33163,1.0838,1.60872,0.77922,0.69234,0.75265,0.46544,1.3625,0.97303,1.45776,0.000401747,0.000401747,0.000401747
25,2842.32,1.30197,1.04587,1.58236,0.76817,0.6964,0.76076,0.46316,1.36166,0.96063,1.45744,0.000346736,0.000346736,0.000346736
26,2955.08,1.2918,1.02016,1.56585,0.77437,0.71274,0.77077,0.48222,1.33218,0.92674,1.42761,0.000291725,0.000291725,0.000291725
27,3067.56,1.26072,0.99436,1.55135,0.78411,0.72233,0.77317,0.48864,1.32421,0.90362,1.42294,0.000236714,0.000236714,0.000236714
28,3180.37,1.23602,0.96401,1.53074,0.75738,0.72827,0.77474,0.48389,1.33699,0.90799,1.42447,0.000181703,0.000181703,0.000181703
29,3293.06,1.22373,0.93423,1.51683,0.79151,0.72115,0.77829,0.49119,1.31093,0.88536,1.41005,0.000126692,0.000126692,0.000126692
30,3405.62,1.20005,0.91068,1.50226,0.79865,0.70033,0.7774,0.4909,1.30167,0.88981,1.40401,7.1681e-05,7.1681e-05,7.1681e-05
